Name,Code,Province,District,,,,
Abaqulusi Local Municipality,KZN263,KwaZulu-Natal,Zululand,,,,
Albert Luthuli Local Municipality,MP301,Mpumalanga,Gert Sibande,,,,
Alfred Duma Local Municipality,KZN238,KwaZulu-Natal,Uthukela,,,,
Amahlathi Local Municipality,EC124,Eastern Cape,Amathole,,,,
Ba-Phalaborwa Local Municipality,LIM334,Limpopo,Mopani,,,,
Beaufort West Local Municipality,WC053,Western Cape,Central Karoo,,,,
Bela-Bela Local Municipality,LIM366,Limpopo,Waterberg,,,,
Bergrivier Local Municipality,WC013,Western Cape,West Coast,,,,
Big Five Hlabisa Local Municipality,KZN276,KwaZulu-Natal,Umkhanyakude,,,,
Bitou Local Municipality,WC047,Western Cape,Garden Route,,,,
Blouberg Local Municipality,LIM351,Limpopo,Capricorn,,,,
Blue Crane Route Local Municipality,EC102,Eastern Cape,Sarah Baartman,,,,
Breede Valley Local Municipality,WC025,Western Cape,Cape Winelands,,,,
Buffalo City Metropolitan Municipality,BUF,Eastern Cape,,,,,
Bushbuckridge Local Municipality,MP325,Mpumalanga,Ehlanzeni,,,,
Cape Agulhas Local Municipality,WC033,Western Cape,Overberg,,,,
Cederberg Local Municipality,WC012,Western Cape,West Coast,,,,
City of Cape Town Metropolitan Municipality,CPT,Western Cape,,,,,
City of Johannesburg Metropolitan Municipality,JHB,Gauteng,,,,,
City of Matlosana Local Municipality,NW403,North West,Dr Kenneth Kaunda,,,,
City of Tshwane Metropolitan Municipality,TSH,Gauteng,,,,,
Collins Chabane Local Municipality,LIM345,Limpopo,Vhembe,,,,
Dannhauser Local Municipality,KZN254,KwaZulu-Natal,Amajuba,,,,
Dawid Kruiper Local Municipality,NC087,Northern Cape,ZF Mgcawu,,,,
Dihlabeng Local Municipality,FS192,Free State,Thabo Mofutsanyana,,,,
Dikgatlong Local Municipality,NC092,Northern Cape,Frances Baard,,,,
Dipaleseng Local Municipality,MP306,Mpumalanga,Gert Sibande,,,,
Ditsobotla Local Municipality,NW384,North West,Ngaka Modiri Molema,,,,
Dr Beyers Naudé Local Municipality,EC101,Eastern Cape,Sarah Baartman,,,,
Dr JS Moroka Local Municipality,MP316,Mpumalanga,Nkangala,,,,
Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,KwaZulu-Natal,Harry Gwala,,,,
Drakenstein Local Municipality,WC023,Western Cape,Cape Winelands,,,,
eDumbe Local Municipality,KZN261,KwaZulu-Natal,Zululand,,,,
Ekurhuleni Metropolitan Municipality,EKU,Gauteng,,,,,
Elias Motsoaledi Local Municipality,LIM472,Limpopo,Sekhukhune,,,,
Elundini Local Municipality,EC141,Eastern Cape,Joe Gqabi,,,,
eMadlangeni Local Municipality,KZN253,KwaZulu-Natal,Amajuba,,,,
Emakhazeni Local Municipality,MP314,Mpumalanga,Nkangala,,,,
Emalahleni Local Municipality,EC136,Eastern Cape,Chris Hani,,,,
Emalahleni Local Municipality,MP312,Mpumalanga,Nkangala,,,,
Emfuleni Local Municipality,GT421,Gauteng,Sedibeng,,,,
Emthanjeni Local Municipality,NC073,Northern Cape,Pixley ka Seme,,,,
Endumeni Local Municipality,KZN241,KwaZulu-Natal,Umzinyathi,,,,
Engcobo Local Municipality,EC137,Eastern Cape,Chris Hani,,,,
Enoch Mgijima Local Municipality,EC139,Eastern Cape,Chris Hani,,,,
Ephraim Mogale Local Municipality,LIM471,Limpopo,Sekhukhune,,,,
eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal,,,,,
Fetakgomo/Greater Tubatse Local Municipality,LIM476,Limpopo,Sekhukhune,,,,
Ga-Segonyana Local Municipality,NC452,Northern Cape,John Taolo Gaetsewe,,,,
