Name,Province,,,,
Cooperative Governance and Traditional Affairs,Eastern Cape,,,,
"Economic Development, Environmental Affairs and Tourism",Eastern Cape,,,,
Education,Eastern Cape,,,,
Health,Eastern Cape,,,,
Human Settlements,Eastern Cape,,,,
Provincial Treasury,Eastern Cape,,,,
Public Works,Eastern Cape,,,,
Rural Development and Agrarian Reform,Eastern Cape,,,,
Safety and Liaison,Eastern Cape,,,,
Social Development,Eastern Cape,,,,
"Sport, Recreation, Arts and Culture",Eastern Cape,,,,
Transport,Eastern Cape,,,,
Agriculture and Rural Development,Free State,,,,
Cooperative Governance and Traditional Affairs,Free State,,,,
"Economic, Small Business Development, Tourism and Environmental Affairs",Free State,,,,
Education,Free State,,,,
Health,Free State,,,,
Human Settlements,Free State,,,,
"Police, Roads and Transport",Free State,,,,
Provincial Treasury,Free State,,,,
Public Works and Infrastructure,Free State,,,,
Social Development,Free State,,,,
"Sport, Arts, Culture and Recreation",Free State,,,,
Agriculture and Rural Development,Gauteng,,,,
Co-operative Governance and Traditional Affairs,Gauteng,,,,
Community Safety,Gauteng,,,,
e-Government,Gauteng,,,,
Economic Development,Gauteng,,,,
Education,Gauteng,,,,
Health,Gauteng,,,,
Human Settlements,Gauteng,,,,
Infrastructure Development,Gauteng,,,,
Roads and Transport,Gauteng,,,,
Social Development,Gauteng,,,,
"Sport, Arts, Culture and Recreation",Gauteng,,,,
Treasury,Gauteng,,,,
Agriculture and Rural Development,KwaZulu-Natal,,,,
Arts and Culture,KwaZulu-Natal,,,,
Co-operative Governance and Traditional Affairs,KwaZulu-Natal,,,,
Community Safety and Liaison,KwaZulu-Natal,,,,
"Economic Development, Tourism and Environmental Affairs",KwaZulu-Natal,,,,
Education,KwaZulu-Natal,,,,
Health,KwaZulu-Natal,,,,
Human Settlements,KwaZulu-Natal,,,,
Provincial Treasury,KwaZulu-Natal,,,,
Public Works,KwaZulu-Natal,,,,
Social Development,KwaZulu-Natal,,,,
Sport and Recreation,KwaZulu-Natal,,,,
Transport,KwaZulu-Natal,,,,
Agriculture and Rural Development,Limpopo,,,,
"Cooperative Governance, Human Settlements and Traditional Affairs",Limpopo,,,,
"Economic Development, Environment and Tourism",Limpopo,,,,
Education,Limpopo,,,,
Health,Limpopo,,,,
Provincial Treasury,Limpopo,,,,
"Public Works, Roads and Infrastructure",Limpopo,,,,
Social Development,Limpopo,,,,
"Sport, Arts and Culture",Limpopo,,,,
Transport and Community Safety,Limpopo,,,,
"Agriculture, Rural Development, Land and Environmental Affairs",Mpumalanga,,,,
Co-operative Governance and Traditional Affairs,Mpumalanga,,,,
"Community Safety, Security and Liaison",Mpumalanga,,,,
"Culture, Sport and Recreation",Mpumalanga,,,,
Economic Development and Tourism,Mpumalanga,,,,
Education,Mpumalanga,,,,
Health,Mpumalanga,,,,
Human Settlements,Mpumalanga,,,,
Provincial Treasury,Mpumalanga,,,,
"Public Works, Roads and Transport",Mpumalanga,,,,
Social Development,Mpumalanga,,,,
Agriculture and Rural Development,North West,,,,
"Arts, Culture, Sports and Recreation",North West,,,,
Community Safety and Transport Management,North West,,,,
"Cooperative Governance, Human Settlements and Traditional Affairs",North West,,,,
"Economic Development, Environment, Conservation and Tourism",North West,,,,
Education,North West,,,,
Health,North West,,,,
Provincial Treasury,North West,,,,
Public Works and Roads,North West,,,,
Social Development,North West,,,,
"Agriculture, Land Reform and Rural Development",Northern Cape,,,,
"Co-operative Governance, Human Settlements and Traditional Affairs",Northern Cape,,,,
Economic Development and Tourism,Northern Cape,,,,
Education,Northern Cape,,,,
Environment and Nature Conservation,Northern Cape,,,,
Health,Northern Cape,,,,
Provincial Treasury,Northern Cape,,,,
Roads and Public Works,Northern Cape,,,,
Social Development,Northern Cape,,,,
"Sport, Arts and Culture",Northern Cape,,,,
"Transport, Safety and Liaison",Northern Cape,,,,
Agriculture,Western Cape,,,,
Community Safety,Western Cape,,,,
Cultural Affairs and Sport,Western Cape,,,,
Economic Development and Tourism,Western Cape,,,,
Education,Western Cape,,,,
Environmental Affairs and Development Planning,Western Cape,,,,
Health,Western Cape,,,,
Human Settlements,Western Cape,,,,
Local Government,Western Cape,,,,
Provincial Treasury,Western Cape,,,,
Social Development,Western Cape,,,,
Transport and Public Works,Western Cape,,,,
