1	The Auditor-General	\N	2020-05-29 20:13:34.948363	2020-05-29 20:13:34.948363	\N	DemocracySupportingStateInstitution	\N	\N
2	The Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	\N	2020-05-29 20:13:34.951847	2020-05-29 20:13:34.951847	\N	DemocracySupportingStateInstitution	\N	\N
3	The Commission on Gender Equality	\N	2020-05-29 20:13:34.954428	2020-05-29 20:13:34.954428	\N	DemocracySupportingStateInstitution	\N	\N
4	The Human Rights Commission	\N	2020-05-29 20:13:34.956996	2020-05-29 20:13:34.956996	\N	DemocracySupportingStateInstitution	\N	\N
5	The Independent Electoral Commission	\N	2020-05-29 20:13:34.959435	2020-05-29 20:13:34.959435	\N	DemocracySupportingStateInstitution	\N	\N
6	The Public Protector	\N	2020-05-29 20:13:34.961971	2020-05-29 20:13:34.961971	\N	DemocracySupportingStateInstitution	\N	\N
7	Independent Complaints Directorate	\N	2020-05-29 20:13:34.982703	2020-05-29 20:13:34.982703	\N	NationalGovernmentInstitution	\N	\N
8	National Intelligence Agency	\N	2020-05-29 20:13:34.98737	2020-05-29 20:13:34.98737	\N	NationalGovernmentInstitution	\N	\N
9	National Treasury	\N	2020-05-29 20:13:34.997527	2020-05-29 20:13:34.997527	\N	NationalGovernmentInstitution	\N	\N
10	Public Service Commission	\N	2020-05-29 20:13:35.000707	2020-05-29 20:13:35.000707	\N	NationalGovernmentInstitution	\N	\N
11	Public Administration Leadership and Management Academy 	\N	2020-05-29 20:13:35.003145	2020-05-29 20:13:35.003145	\N	NationalGovernmentInstitution	\N	\N
12	South African Police Service	\N	2020-05-29 20:13:35.005815	2020-05-29 20:13:35.005815	\N	NationalGovernmentInstitution	\N	\N
13	South African Revenue Service	\N	2020-05-29 20:13:35.00858	2020-05-29 20:13:35.00858	\N	NationalGovernmentInstitution	\N	\N
14	South African Secret Service	\N	2020-05-29 20:13:35.011759	2020-05-29 20:13:35.011759	\N	NationalGovernmentInstitution	\N	\N
15	Statistics South Africa	\N	2020-05-29 20:13:35.014182	2020-05-29 20:13:35.014182	\N	NationalGovernmentInstitution	\N	\N
16	Department of Agriculture, Forestry and Fisheries	\N	2020-05-29 20:13:35.09055	2020-05-29 20:13:35.09055	\N	NationalGovernmentAgency	\N	\N
17	Department of Arts and Culture 	\N	2020-05-29 20:13:35.099249	2020-05-29 20:13:35.099249	\N	NationalGovernmentAgency	\N	\N
18	Department of Basic Education	\N	2020-05-29 20:13:35.101726	2020-05-29 20:13:35.101726	\N	NationalGovernmentAgency	\N	\N
19	Civilian Secretariat for Police	\N	2020-05-29 20:13:35.103381	2020-05-29 20:13:35.103381	\N	NationalGovernmentAgency	\N	\N
20	Department of Communications	\N	2020-05-29 20:13:35.104835	2020-05-29 20:13:35.104835	\N	NationalGovernmentAgency	\N	\N
21	Department of Cooperative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.106596	2020-05-29 20:13:35.106596	\N	NationalGovernmentAgency	\N	\N
22	Department of Correctional Services	\N	2020-05-29 20:13:35.108534	2020-05-29 20:13:35.108534	\N	NationalGovernmentAgency	\N	\N
23	Department of Defence	\N	2020-05-29 20:13:35.110087	2020-05-29 20:13:35.110087	\N	NationalGovernmentAgency	\N	\N
24	Department of Economic Development	\N	2020-05-29 20:13:35.111435	2020-05-29 20:13:35.111435	\N	NationalGovernmentAgency	\N	\N
25	Department of Energy 	\N	2020-05-29 20:13:35.113228	2020-05-29 20:13:35.113228	\N	NationalGovernmentAgency	\N	\N
26	Department of Environmental Affairs 	\N	2020-05-29 20:13:35.115621	2020-05-29 20:13:35.115621	\N	NationalGovernmentAgency	\N	\N
27	Department of Health	\N	2020-05-29 20:13:35.117316	2020-05-29 20:13:35.117316	\N	NationalGovernmentAgency	\N	\N
28	Department of Higher Education and Training	\N	2020-05-29 20:13:35.118808	2020-05-29 20:13:35.118808	\N	NationalGovernmentAgency	\N	\N
29	Department of Home Affairs	\N	2020-05-29 20:13:35.121869	2020-05-29 20:13:35.121869	\N	NationalGovernmentAgency	\N	\N
30	Department of Human Settlements	\N	2020-05-29 20:13:35.12516	2020-05-29 20:13:35.12516	\N	NationalGovernmentAgency	\N	\N
31	Independent Police Investigative Directorate	\N	2020-05-29 20:13:35.128955	2020-05-29 20:13:35.128955	\N	NationalGovernmentAgency	\N	\N
32	Department of International Relations and Cooperation	\N	2020-05-29 20:13:35.132325	2020-05-29 20:13:35.132325	\N	NationalGovernmentAgency	\N	\N
33	Department of Justice and Constitutional Development	\N	2020-05-29 20:13:35.135835	2020-05-29 20:13:35.135835	\N	NationalGovernmentAgency	\N	\N
34	Department of Labour	\N	2020-05-29 20:13:35.13933	2020-05-29 20:13:35.13933	\N	NationalGovernmentAgency	\N	\N
35	Department of Military Veterans	\N	2020-05-29 20:13:35.148317	2020-05-29 20:13:35.148317	\N	NationalGovernmentAgency	\N	\N
36	Department of Mineral Resources 	\N	2020-05-29 20:13:35.150904	2020-05-29 20:13:35.150904	\N	NationalGovernmentAgency	\N	\N
37	National Treasury	\N	2020-05-29 20:13:35.15247	2020-05-29 20:13:35.15247	\N	NationalGovernmentAgency	\N	\N
38	Department of Performance Monitoring and Evaluation	\N	2020-05-29 20:13:35.154009	2020-05-29 20:13:35.154009	\N	NationalGovernmentAgency	\N	\N
39	Public Administration Leadership and Management Academy	\N	2020-05-29 20:13:35.155355	2020-05-29 20:13:35.155355	\N	NationalGovernmentAgency	\N	\N
40	Department of Public Enterprises	\N	2020-05-29 20:13:35.156958	2020-05-29 20:13:35.156958	\N	NationalGovernmentAgency	\N	\N
41	Department of Public Service and Administration	\N	2020-05-29 20:13:35.15822	2020-05-29 20:13:35.15822	\N	NationalGovernmentAgency	\N	\N
42	Public Service Commission	\N	2020-05-29 20:13:35.159656	2020-05-29 20:13:35.159656	\N	NationalGovernmentAgency	\N	\N
43	Department of Public Works	\N	2020-05-29 20:13:35.160888	2020-05-29 20:13:35.160888	\N	NationalGovernmentAgency	\N	\N
44	Department of Rural Development and Land Reform	\N	2020-05-29 20:13:35.162329	2020-05-29 20:13:35.162329	\N	NationalGovernmentAgency	\N	\N
45	Department of Science and Technology	\N	2020-05-29 20:13:35.163488	2020-05-29 20:13:35.163488	\N	NationalGovernmentAgency	\N	\N
46	Department of Social Development 	\N	2020-05-29 20:13:35.164677	2020-05-29 20:13:35.164677	\N	NationalGovernmentAgency	\N	\N
47	South African Police Service	\N	2020-05-29 20:13:35.16601	2020-05-29 20:13:35.16601	\N	NationalGovernmentAgency	\N	\N
48	South African Revenue Service	\N	2020-05-29 20:13:35.167134	2020-05-29 20:13:35.167134	\N	NationalGovernmentAgency	\N	\N
49	State Security Agency	\N	2020-05-29 20:13:35.168235	2020-05-29 20:13:35.168235	\N	NationalGovernmentAgency	\N	\N
50	Department of Sport and Recreation South Africa	\N	2020-05-29 20:13:35.170507	2020-05-29 20:13:35.170507	\N	NationalGovernmentAgency	\N	\N
51	Statistics South Africa	\N	2020-05-29 20:13:35.172646	2020-05-29 20:13:35.172646	\N	NationalGovernmentAgency	\N	\N
52	Department of Tourism 	\N	2020-05-29 20:13:35.175183	2020-05-29 20:13:35.175183	\N	NationalGovernmentAgency	\N	\N
53	Department of Trade and Industry	\N	2020-05-29 20:13:35.17822	2020-05-29 20:13:35.17822	\N	NationalGovernmentAgency	\N	\N
54	Department of Traditional Affairs	\N	2020-05-29 20:13:35.181185	2020-05-29 20:13:35.181185	\N	NationalGovernmentAgency	\N	\N
55	Department of Transport	\N	2020-05-29 20:13:35.184646	2020-05-29 20:13:35.184646	\N	NationalGovernmentAgency	\N	\N
