1	Alfred Nzo	DC44	9	2020-05-13 13:54:27.39929	2020-05-13 13:54:27.39929
2	Amajuba	DC25	5	2020-05-13 13:54:27.403817	2020-05-13 13:54:27.403817
3	Amathole	DC12	9	2020-05-13 13:54:27.407145	2020-05-13 13:54:27.407145
4	Bojanala	DC37	3	2020-05-13 13:54:27.411294	2020-05-13 13:54:27.411294
5	Cape Winelands	DC2	4	2020-05-13 13:54:27.419904	2020-05-13 13:54:27.419904
6	Capricorn	DC35	6	2020-05-13 13:54:27.443416	2020-05-13 13:54:27.443416
7	Central Karoo	DC5	4	2020-05-13 13:54:27.448242	2020-05-13 13:54:27.448242
8	Chris Hani	DC13	9	2020-05-13 13:54:27.451835	2020-05-13 13:54:27.451835
9	Dr Kenneth Kaunda	DC40	3	2020-05-13 13:54:27.466521	2020-05-13 13:54:27.466521
10	Dr Ruth Segomotsi Mompati	DC39	3	2020-05-13 13:54:27.469926	2020-05-13 13:54:27.469926
11	Ehlanzeni	DC32	2	2020-05-13 13:54:27.492996	2020-05-13 13:54:27.492996
12	Fezile Dabi	DC20	7	2020-05-13 13:54:27.505881	2020-05-13 13:54:27.505881
13	Frances Baard	DC9	8	2020-05-13 13:54:27.509142	2020-05-13 13:54:27.509142
14	Garden Route	DC4	4	2020-05-13 13:54:27.51255	2020-05-13 13:54:27.51255
15	Gert Sibande	DC30	2	2020-05-13 13:54:27.515699	2020-05-13 13:54:27.515699
16	Harry Gwala	DC43	5	2020-05-13 13:54:27.51946	2020-05-13 13:54:27.51946
17	iLembe	DC29	5	2020-05-13 13:54:27.542877	2020-05-13 13:54:27.542877
18	Joe Gqabi	DC14	9	2020-05-13 13:54:27.548088	2020-05-13 13:54:27.548088
19	John Taolo Gaetsewe	DC45	8	2020-05-13 13:54:27.551618	2020-05-13 13:54:27.551618
20	King Cetshwayo	DC28	5	2020-05-13 13:54:27.554905	2020-05-13 13:54:27.554905
21	Lejweleputswa	DC18	7	2020-05-13 13:54:27.558164	2020-05-13 13:54:27.558164
22	Mopani	DC33	6	2020-05-13 13:54:27.565274	2020-05-13 13:54:27.565274
23	Namakwa	DC6	8	2020-05-13 13:54:27.568132	2020-05-13 13:54:27.568132
24	Ngaka Modiri Molema	DC38	3	2020-05-13 13:54:27.594312	2020-05-13 13:54:27.594312
25	Nkangala	DC31	2	2020-05-13 13:54:27.598143	2020-05-13 13:54:27.598143
26	OR Tambo	DC15	9	2020-05-13 13:54:27.601221	2020-05-13 13:54:27.601221
27	Overberg	DC3	4	2020-05-13 13:54:27.604397	2020-05-13 13:54:27.604397
28	Pixley ka Seme	DC7	8	2020-05-13 13:54:27.607329	2020-05-13 13:54:27.607329
29	Sarah Baartman	DC10	9	2020-05-13 13:54:27.61059	2020-05-13 13:54:27.61059
30	Sedibeng	DC42	1	2020-05-13 13:54:27.613908	2020-05-13 13:54:27.613908
31	Sekhukhune	DC47	6	2020-05-13 13:54:27.616679	2020-05-13 13:54:27.616679
32	Thabo Mofutsanyana	DC19	7	2020-05-13 13:54:27.619221	2020-05-13 13:54:27.619221
33	Ugu	DC21	5	2020-05-13 13:54:27.638388	2020-05-13 13:54:27.638388
34	uMgungundlovu	DC22	5	2020-05-13 13:54:27.641536	2020-05-13 13:54:27.641536
35	uMkhanyakude	DC27	5	2020-05-13 13:54:27.644116	2020-05-13 13:54:27.644116
36	uMzinyathi	DC24	5	2020-05-13 13:54:27.646601	2020-05-13 13:54:27.646601
37	uThukela	DC23	5	2020-05-13 13:54:27.648854	2020-05-13 13:54:27.648854
38	Vhembe	DC34	6	2020-05-13 13:54:27.650563	2020-05-13 13:54:27.650563
39	Waterberg	DC36	6	2020-05-13 13:54:27.652405	2020-05-13 13:54:27.652405
40	West Coast	DC1	4	2020-05-13 13:54:27.654297	2020-05-13 13:54:27.654297
41	West Rand	DC48	1	2020-05-13 13:54:27.656187	2020-05-13 13:54:27.656187
42	Xhariep	DC16	7	2020-05-13 13:54:27.65783	2020-05-13 13:54:27.65783
43	ZF Mgcawu	DC8	8	2020-05-13 13:54:27.660015	2020-05-13 13:54:27.660015
44	Zululand	DC26	5	2020-05-13 13:54:27.662586	2020-05-13 13:54:27.662586
